Page,original (bytes),gzipped (bytes),minified and gzipped (bytes),Percent Saved
austinpray.com.html,14808,3711,3070,4.328741220961643%
cnet.com.html,205868,31647,29328,1.126449958225659%
cnet.tumblr.com.html,56723,10819,9944,1.5425841369462123%
corelaunch.com.html,3661,1364,1201,4.452335427478831%
docs.docker.com.html,41594,10934,10197,1.7718901764677597%
guides.rubyonrails.org.1.html,66079,15556,15039,0.7823968280391653%
guides.rubyonrails.org.2.html,31308,8362,8023,1.0827903411268687%
guides.rubyonrails.org.3.html,46192,11798,11420,0.8183235192241081%
guides.rubyonrails.org.html,101585,25497,24654,0.8298469262194222%
gulpWebapp.html,4919,1454,1102,7.15592600121976%
h5bp.html,1820,874,636,13.076923076923078%
macrumors.com.html,159660,33387,31449,1.2138293874483277%
openbsd.org.html,140403,40564,39422,0.8133729336267744%
puppetlabs.com.html,68646,14848,13392,2.1210267167788364%
slashdot.org.html,123037,30244,28731,1.229711387631363%
stackoverflow.com.2.html,225987,40321,37434,1.2775071132410272%
stackoverflow.com.html,246608,35172,33649,0.6175793161616817%
vimhelp.appspot.com.html,698537,113955,112528,0.20428409661907673%
wikipedia.org.html,227878,37661,36720,0.41294025750620944%
wordpress.org.1.html,31238,10516,9856,2.1128113195467058%
wordpress.org.2.html,41579,14538,13805,1.76290916087448%
